id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
abm,Alabama,3,Others,NA,32.3333333333,-87.4166666667,Muskogean,Muskogean,Sylestine et al. n.d.,http://wals.info/valuesets/138A-abm,http://wals.info/languoid/lect/wals_code_abm,http://wals.info/refdb/record/Sylestine-et-al-nd
abz,Abaza,1,Words derived from Sinitic cha,NA,44,42,Northwest Caucasian,Northwest Caucasian,Anonymous 1956,http://wals.info/valuesets/138A-abz,http://wals.info/languoid/lect/wals_code_abz,http://wals.info/refdb/record/Anonymous-1956
ace,Acehnese,2,Words derived from Min Nan Chinese te,949,5.5,95.5,Malayo-Sumbawan,Austronesian,Aboe Bakar et al. 1985,http://wals.info/valuesets/138A-ace,http://wals.info/languoid/lect/wals_code_ace,http://wals.info/refdb/record/Aboe-Bakar-et-al-1985[949]
aeg,Arabic (Egyptian),1,Words derived from Sinitic cha,540,30,31,Semitic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[540]
afr,Afrikaans,2,Words derived from Min Nan Chinese te,493,-31,22,Germanic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-afr,http://wals.info/languoid/lect/wals_code_afr,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[493]
aht,Ahtna,1,Words derived from Sinitic cha,NA,62,-145,Athapaskan,Na-Dene,Kari 1990,http://wals.info/valuesets/138A-aht,http://wals.info/languoid/lect/wals_code_aht,http://wals.info/refdb/record/Kari-1990
alb,Albanian,1,Words derived from Sinitic cha,NA,41,20,Albanian,Indo-European,NA,http://wals.info/valuesets/138A-alb,http://wals.info/languoid/lect/wals_code_alb,NA
alt,Alsatian,2,Words derived from Min Nan Chinese te,517,48.5,7.5,Germanic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-alt,http://wals.info/languoid/lect/wals_code_alt,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[517]
amh,Amharic,1,Words derived from Sinitic cha,525,10,38,Semitic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[525]
arm,Armenian (Eastern),2,Words derived from Min Nan Chinese te,553,40,45,Armenian,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[553]
ass,Assamese,1,Words derived from Sinitic cha,559,26,93,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ass,http://wals.info/languoid/lect/wals_code_ass,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[559]
ast,Asturian,2,Words derived from Min Nan Chinese te,NA,43.25,-6,Romance,Indo-European,NA,http://wals.info/valuesets/138A-ast,http://wals.info/languoid/lect/wals_code_ast,NA
ata,Atayal,3,Others,NA,24.5,121.333333333,Atayalic,Austronesian,Egerod 1980,http://wals.info/valuesets/138A-ata,http://wals.info/languoid/lect/wals_code_ata,http://wals.info/refdb/record/Egerod-1980
aze,Azerbaijani,1,Words derived from Sinitic cha,570,40.5,48.5,Turkic,Altaic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-aze,http://wals.info/languoid/lect/wals_code_aze,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[570]
bal,Balinese,2,Words derived from Min Nan Chinese te,390,-8.33333333333,115.25,Malayo-Sumbawan,Austronesian,Sugiarto 1993,http://wals.info/valuesets/138A-bal,http://wals.info/languoid/lect/wals_code_bal,http://wals.info/refdb/record/Sugiarto-1993[390]
bam,Bambara,3,Others,581,12.5,-7.5,Western Mande,Mande,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-bam,http://wals.info/languoid/lect/wals_code_bam,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[581]
bdg,Badaga,2,Words derived from Min Nan Chinese te,NA,11.6666666667,76.75,Southern Dravidian,Dravidian,Hockings and Pilot-Raichoor 1992,http://wals.info/valuesets/138A-bdg,http://wals.info/languoid/lect/wals_code_bdg,http://wals.info/refdb/record/Hockings-and-Pilot-Raichoor-1992
ben,Bengali,1,Words derived from Sinitic cha,623,24,90,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ben,http://wals.info/languoid/lect/wals_code_ben,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[623]
blc,Baluchi,1,Words derived from Sinitic cha,576,28,62,Iranian,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-blc,http://wals.info/languoid/lect/wals_code_blc,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[576]
blr,Belorussian,1,Words derived from Sinitic cha,638,54,28,Slavic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-blr,http://wals.info/languoid/lect/wals_code_blr,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[638]
bma,Berber (Middle Atlas),3,Others,1548,33,-5,Berber,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-bma,http://wals.info/languoid/lect/wals_code_bma,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1548]
bre,Breton,2,Words derived from Min Nan Chinese te,672,48,-3,Celtic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-bre,http://wals.info/languoid/lect/wals_code_bre,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[672]
brj,Burji,1,Words derived from Sinitic cha,NA,5.5,37.8333333333,Lowland East Cushitic,Afro-Asiatic,Sasse 1982,http://wals.info/valuesets/138A-brj,http://wals.info/languoid/lect/wals_code_brj,http://wals.info/refdb/record/Sasse-1982
brm,Burmese,3,Others,646,21,96,Burmese-Lolo,Sino-Tibetan,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-brm,http://wals.info/languoid/lect/wals_code_brm,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[646]
